广东频道,#genre#
CCTV-6,http://124.64.189.63:8888/rtp/239.3.1.174:8001
CCTV-6,http://123.113.34.218:4022/rtp/239.3.1.174:8001
CCTV-6,http://111.167.226.190:4022/rtp/225.1.1.195:5002
CCTV-7,http://60.7.56.33:4000/rtp/239.253.92.194:6059$1920x1080
CCTV-7,http://sweetown.fun:4000/rtp/239.3.1.61:8104$1920x1080
CCTV-7,http://118.81.48.104:8083/rtp/226.0.2.24:8104$720x576
CCTV-7,http://171.120.20.181:8004/rtp/226.0.2.24:8104$720x576
CCTV-7,http://124.64.189.63:8888/rtp/239.3.1.61:8104
CCTV-7,http://123.113.34.218:4022/rtp/239.3.1.61:8104
CCTV-7,http://111.167.226.190:4022/rtp/225.1.1.138:5002
CCTV-7,http://116.226.74.224:18888/rtp/239.45.3.56:5140
CCTV-8,http://111.165.222.109:8000/rtp/225.1.1.196:5002$1920x1080
CCTV-8,http://sweetown.fun:4000/rtp/239.3.1.175:8001$1920x1080
CCTV-8,http://171.120.20.181:8004/rtp/226.0.2.25:8112$720x576
CCTV-8,http://124.64.189.63:8888/rtp/239.3.1.175:8001
CCTV-8,http://123.113.34.218:4022/rtp/239.3.1.175:8001
CCTV-8,http://111.167.226.190:4022/rtp/225.1.1.196:5002
CCTV-8,http://116.226.74.224:18888/rtp/239.45.1.71:5140
CCTV-8,http://180.111.100.226:8800/rtp/239.49.9.34:6000
CCTV-9,http://sweetown.fun:4000/rtp/239.3.1.62:8112$1920x1080
CCTV-9,http://223.215.3.236:2000/rtp/238.1.78.240:7792$1920x1080
CCTV-9,http://183.191.208.95:8085/rtp/226.0.2.26:8120$720x576
CCTV-9,http://124.64.189.63:8888/rtp/239.3.1.62:8112
CCTV-9,http://123.113.34.218:4022/rtp/239.3.1.62:8112
CCTV-9,http://111.167.226.190:4022/rtp/225.1.1.119:5002
CCTV-9,http://116.226.74.224:18888/rtp/239.45.3.4:5140
CCTV-9,http://180.111.100.226:8800/rtp/239.49.8.133:6000
CCTV-10,http://111.165.222.109:8000/rtp/225.1.1.140:5002$1920x1080
CCTV-10,http://223.215.3.236:2000/rtp/238.1.78.241:7800$1920x1080
CCTV-10,http://sweetown.fun:4000/rtp/239.3.1.63:8116$1920x1080
